datetime,temperature,humidity,city,temperature_category
2026-05-27 00:00:00,29.4,58,Chennai,Moderate
2026-05-27 01:00:00,29.6,60,Chennai,Moderate
2026-05-27 02:00:00,31.0,53,Chennai,Hot
2026-05-27 03:00:00,32.1,49,Chennai,Hot
2026-05-27 04:00:00,33.9,44,Chennai,Hot
2026-05-27 05:00:00,36.2,38,Chennai,Hot
2026-05-27 06:00:00,37.8,33,Chennai,Hot
2026-05-27 07:00:00,39.2,30,Chennai,Hot
2026-05-27 08:00:00,39.6,30,Chennai,Hot
2026-05-27 09:00:00,39.2,33,Chennai,Hot
2026-05-27 10:00:00,37.0,48,Chennai,Hot
2026-05-27 11:00:00,35.3,56,Chennai,Hot
2026-05-27 12:00:00,33.9,57,Chennai,Hot
2026-05-27 13:00:00,33.1,62,Chennai,Hot
2026-05-27 14:00:00,32.8,64,Chennai,Hot
2026-05-27 15:00:00,32.5,66,Chennai,Hot
2026-05-27 16:00:00,32.0,68,Chennai,Hot
2026-05-27 17:00:00,31.4,73,Chennai,Hot
2026-05-27 18:00:00,30.9,77,Chennai,Hot
2026-05-27 19:00:00,30.6,76,Chennai,Hot
2026-05-27 20:00:00,30.5,73,Chennai,Hot
2026-05-27 21:00:00,30.0,72,Chennai,Moderate
2026-05-27 22:00:00,29.7,73,Chennai,Moderate
2026-05-27 23:00:00,29.4,75,Chennai,Moderate
2026-05-28 00:00:00,29.1,76,Chennai,Moderate
2026-05-28 01:00:00,29.5,73,Chennai,Moderate
2026-05-28 02:00:00,31.5,58,Chennai,Hot
2026-05-28 03:00:00,33.7,48,Chennai,Hot
2026-05-28 04:00:00,35.6,45,Chennai,Hot
2026-05-28 05:00:00,37.7,41,Chennai,Hot
2026-05-28 06:00:00,39.3,37,Chennai,Hot
2026-05-28 07:00:00,39.8,35,Chennai,Hot
2026-05-28 08:00:00,40.0,36,Chennai,Hot
2026-05-28 09:00:00,38.2,47,Chennai,Hot
2026-05-28 10:00:00,37.0,54,Chennai,Hot
2026-05-28 11:00:00,35.7,57,Chennai,Hot
2026-05-28 12:00:00,35.0,58,Chennai,Hot
2026-05-28 13:00:00,34.3,60,Chennai,Hot
2026-05-28 14:00:00,34.0,60,Chennai,Hot
2026-05-28 15:00:00,33.8,60,Chennai,Hot
2026-05-28 16:00:00,33.2,61,Chennai,Hot
2026-05-28 17:00:00,31.3,60,Chennai,Hot
2026-05-28 18:00:00,30.5,62,Chennai,Hot
2026-05-28 19:00:00,30.1,62,Chennai,Hot
2026-05-28 20:00:00,29.6,62,Chennai,Moderate
2026-05-28 21:00:00,29.4,63,Chennai,Moderate
2026-05-28 22:00:00,29.0,64,Chennai,Moderate
2026-05-28 23:00:00,28.7,67,Chennai,Moderate
2026-05-29 00:00:00,28.6,67,Chennai,Moderate
2026-05-29 01:00:00,29.0,66,Chennai,Moderate
2026-05-29 02:00:00,30.6,60,Chennai,Hot
2026-05-29 03:00:00,32.8,53,Chennai,Hot
2026-05-29 04:00:00,34.9,48,Chennai,Hot
2026-05-29 05:00:00,36.8,43,Chennai,Hot
2026-05-29 06:00:00,38.5,39,Chennai,Hot
2026-05-29 07:00:00,39.7,35,Chennai,Hot
2026-05-29 08:00:00,40.0,34,Chennai,Hot
2026-05-29 09:00:00,40.2,33,Chennai,Hot
2026-05-29 10:00:00,39.8,33,Chennai,Hot
2026-05-29 11:00:00,39.5,34,Chennai,Hot
2026-05-29 12:00:00,37.5,39,Chennai,Hot
2026-05-29 13:00:00,36.6,42,Chennai,Hot
2026-05-29 14:00:00,35.7,45,Chennai,Hot
2026-05-29 15:00:00,34.8,50,Chennai,Hot
2026-05-29 16:00:00,33.1,64,Chennai,Hot
2026-05-29 17:00:00,31.5,76,Chennai,Hot
2026-05-29 18:00:00,29.0,70,Chennai,Moderate
2026-05-29 19:00:00,28.9,67,Chennai,Moderate
2026-05-29 20:00:00,28.6,69,Chennai,Moderate
2026-05-29 21:00:00,28.5,69,Chennai,Moderate
2026-05-29 22:00:00,28.5,70,Chennai,Moderate
